source,group,env_version,map_name,difficulty,episode,algorithm,seed,solved,failure_reason,height,width,num_boxes,total_reward,steps,runtime_ms,nodes_expanded,deadlocks_pruned,dead_squares
original,original_v0,Sokoban-v0,episode_04,Sokoban-v0,4,greedy,104,True,,,,,11.4,16,219.5177,18,6,14
original,original_v0,Sokoban-v0,episode_04,Sokoban-v0,4,greedy,104,True,,,,,6.6,64,2191.2398,31,5,15
original,original_v0,Sokoban-v0,episode_04,Sokoban-v0,4,astar,104,True,,,,,8.5,45,1710.716,364,364,5
original,original_v0,Sokoban-v0,episode_04,Sokoban-v0,4,bfs,104,True,,,,,9.7,33,618.257,542,303,4
original,original_v0,Sokoban-v0,episode_04,Sokoban-v0,4,greedy,104,True,,,,,8.7,43,859.2043,262,203,15
original,original_v0,Sokoban-v0,episode_04,Sokoban-v0,4,astar,104,True,,,,,9.0,40,746.5019,118,243,11
original,original_v0,Sokoban-v0,episode_04,Sokoban-v0,4,bfs,104,True,,,,,10.0,30,18445.1225,4196,3343,11
original,original_v0,Sokoban-v0,episode_04,Sokoban-v0,4,greedy,104,True,,,,,8.9,41,24559.1207,137,106,8
original,original_v0,Sokoban-v0,episode_04,Sokoban-v0,4,astar,104,True,,,,,8.5,45,26009.8038,56,100,15
original,original_v0,Sokoban-v0,episode_04,Sokoban-v0,4,bfs,104,True,,,,,8.3,47,578.105,326,291,17
original,original_v0,Sokoban-v0,episode_04,Sokoban-v0,4,greedy,104,True,,,,,10.2,28,328.7129,25,7,6
original,original_v0,Sokoban-v0,episode_04,Sokoban-v0,4,astar,104,True,,,,,9.3,37,376.4036,37,82,11
original,original_v0,Sokoban-v0,episode_04,Sokoban-v0,4,bfs,104,True,,,,,11.8,12,411.3343,114,181,17
original,original_v0,Sokoban-v0,episode_04,Sokoban-v0,4,greedy,104,True,,,,,8.2,48,1442.8368,96,20,12
original,original_v0,Sokoban-v0,episode_04,Sokoban-v0,4,astar,104,True,,,,,11.4,16,492.4068,73,112,6
original,original_v0,Sokoban-v0,episode_04,Sokoban-v0,4,bfs,104,True,,,,,10.4,26,1008.7695,570,618,7
original,original_v0,Sokoban-v0,episode_04,Sokoban-v0,4,greedy,104,True,,,,,8.1,49,1592.9325,10,13,17
original,original_v0,Sokoban-v0,episode_04,Sokoban-v0,4,astar,104,True,,,,,9.9,31,1055.5403,91,65,11
original,original_v0,Sokoban-v0,episode_04,Sokoban-v0,4,bfs,104,True,,,,,10.1,29,366.0347,590,1289,14
original,original_v0,Sokoban-v0,episode_04,Sokoban-v0,4,greedy,104,True,,,,,7.1,59,559.037,17,15,5
original,original_v0,Sokoban-v0,episode_04,Sokoban-v0,4,astar,104,True,,,,,10.9,21,209.7337,11,17,10
