source,group,env_version,map_name,difficulty,episode,algorithm,seed,solved,failure_reason,height,width,num_boxes,total_reward,steps,runtime_ms,nodes_expanded,deadlocks_pruned,dead_squares
custom,custom_core,custom_env,map_10,Hard-3box,0,bfs,,True,,7,15,3,9.9,31,8303.4718,28329,11004,10
custom,custom_core,custom_env,map_10,Hard-3box,0,greedy,,True,,7,15,3,7.8,52,913.6951,1521,1348,10
custom,custom_core,custom_env,map_10,Hard-3box,0,astar,,True,,7,15,3,8.6,44,1659.7836,2571,1274,10
custom,custom_core,custom_env,map_10,Hard-3box,0,greedy,,True,,7,15,3,7.8,52,925.905,1521,1348,10
custom,custom_core,custom_env,map_10,Hard-3box,0,greedy,,True,,7,15,3,7.8,52,916.8711,1521,1348,10
custom,custom_core,custom_env,map_10,Hard-3box,0,astar,,True,,7,15,3,8.6,44,1428.1502,2571,1274,10
custom,custom_core,custom_env,map_10,Hard-3box,0,greedy,,True,,7,15,3,7.8,52,2393.7933,1521,1348,10
custom,custom_core,custom_env,map_10,Hard-3box,0,bfs,,True,,7,15,3,9.9,31,15252.9047,28329,11004,10
custom,custom_core,custom_env,map_10,Hard-3box,0,greedy,,True,,7,15,3,7.8,52,2364.9988,1521,1348,10
custom,custom_core,custom_env,map_10,Hard-3box,0,astar,,True,,7,15,3,8.6,44,3251.7307,2571,1274,10
custom,custom_core,custom_env,map_10,Hard-3box,0,greedy,,True,,7,15,3,7.8,52,1013.8049,1521,1348,10
custom,custom_core,custom_env,map_10,Hard-3box,0,astar,,True,,7,15,3,8.6,44,1346.9408,2571,1274,10
custom,custom_core,custom_env,map_10,Hard-3box,0,bfs,,True,,7,15,3,9.9,31,15229.8465,28329,11004,10
custom,custom_core,custom_env,map_10,Hard-3box,0,bfs,,True,,7,15,3,9.9,31,40005.5571,28329,11004,10
custom,custom_core,custom_env,map_10,Hard-3box,0,greedy,,True,,7,15,3,7.8,52,31596.6401,1521,1348,10
custom,custom_core,custom_env,map_10,Hard-3box,0,astar,,True,,7,15,3,8.6,44,27049.8972,2571,1274,10
custom,custom_core,custom_env,map_10,Hard-3box,0,bfs,,True,,7,15,3,9.9,31,15520.1762,28329,11004,10
custom,custom_core,custom_env,map_10,Hard-3box,0,greedy,,True,,7,15,3,7.8,52,2206.3737,1521,1348,10
custom,custom_core,custom_env,map_10,Hard-3box,0,astar,,True,,7,15,3,8.6,44,6169.8134,2571,1274,10
custom,custom_core,custom_env,map_10,Hard-3box,0,bfs,,True,,7,15,3,9.9,31,20240.0448,28329,11004,10
custom,custom_core,custom_env,map_10,Hard-3box,0,greedy,,True,,7,15,3,7.8,52,29653.0545,1521,1348,10
custom,custom_core,custom_env,map_10,Hard-3box,0,astar,,True,,7,15,3,8.6,44,25356.9443,2571,1274,10
custom,custom_core,custom_env,map_10,Hard-3box,0,bfs,,True,,7,15,3,9.9,31,5454.5472,28329,11004,10
custom,custom_core,custom_env,map_10,Hard-3box,0,greedy,,True,,7,15,3,7.8,52,719.1699,1521,1348,10
custom,custom_core,custom_env,map_10,Hard-3box,0,astar,,True,,7,15,3,8.6,44,992.1334,2571,1274,10
custom,custom_core,custom_env,map_10,Hard-3box,0,bfs,,True,,7,15,3,9.9,31,5626.2488,28329,11004,10
custom,custom_core,custom_env,map_10,Hard-3box,0,greedy,,True,,7,15,3,7.8,52,680.2955,1521,1348,10
custom,custom_core,custom_env,map_10,Hard-3box,0,astar,,True,,7,15,3,8.6,44,933.9867,2571,1274,10
custom,custom_core,custom_env,map_10,Hard-3box,0,bfs,,True,,7,15,3,9.9,31,16192.1725,28329,11004,10
custom,custom_core,custom_env,map_10,Hard-3box,0,greedy,,True,,7,15,3,7.4,56,2928.5338,2250,1570,10
custom,custom_core,custom_env,map_10,Hard-3box,0,astar,,True,,7,15,3,10.5,25,2435.4904,2571,1275,10
custom,custom_core,custom_env,map_10,Hard-3box,0,bfs,,True,,7,15,3,9.9,31,15114.7876,28329,11004,10
custom,custom_core,custom_env,map_10,Hard-3box,0,greedy,,True,,7,15,3,7.4,56,2958.2024,2250,1570,10
custom,custom_core,custom_env,map_10,Hard-3box,0,astar,,True,,7,15,3,10.5,25,2504.523,2571,1275,10
