source,group,env_version,map_name,difficulty,episode,algorithm,seed,solved,failure_reason,height,width,num_boxes,total_reward,steps,runtime_ms,nodes_expanded,deadlocks_pruned,dead_squares
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,bfs,,True,,11,11,2,9.4,26,1420.3453,4776,4483,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,bfs,,True,,11,11,2,9.4,26,1230.4051,4776,4483,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,greedy,,True,,11,11,2,9.6,24,309.5682,11,5,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,bfs,,True,,11,11,2,9.4,26,1482.2972,4776,4483,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,greedy,,True,,11,11,2,9.6,24,333.904,11,5,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,astar,,True,,11,11,2,9.6,24,411.7894,67,23,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,greedy,,True,,11,11,2,9.6,24,331.8069,11,5,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,greedy,,True,,11,11,2,9.6,24,260.5851,11,5,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,astar,,True,,11,11,2,9.6,24,366.5087,67,23,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,greedy,,True,,11,11,2,9.6,24,1019.4612,11,5,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,greedy,,True,,11,11,2,9.6,24,826.777,11,5,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,bfs,,True,,11,11,2,9.4,26,1461.9334,4776,4483,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,greedy,,True,,11,11,2,9.6,24,292.5816,11,5,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,astar,,True,,11,11,2,9.6,24,268.9943,67,23,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,greedy,,True,,11,11,2,9.6,24,227.4137,11,5,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,astar,,True,,11,11,2,9.6,24,282.774,67,23,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,bfs,,True,,11,11,2,9.4,26,1526.1118,4776,4483,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,bfs,,True,,11,11,2,9.4,26,1627.0897,4776,4483,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,bfs,,True,,11,11,2,9.4,26,16174.0487,4776,4483,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,greedy,,True,,11,11,2,9.6,24,13836.473,11,5,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,astar,,True,,11,11,2,9.6,24,14049.6073,67,23,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,bfs,,True,,11,11,2,9.4,26,4864.5036,4776,4483,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,greedy,,True,,11,11,2,9.6,24,920.8112,11,5,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,astar,,True,,11,11,2,9.6,24,970.1381,67,23,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,bfs,,True,,11,11,2,9.4,26,15119.9179,4776,4483,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,greedy,,True,,11,11,2,9.6,24,13401.9892,11,5,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,astar,,True,,11,11,2,9.6,24,13539.036,67,23,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,bfs,,True,,11,11,2,9.4,26,1246.0887,4776,4483,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,greedy,,True,,11,11,2,9.6,24,345.5019,11,5,32
custom,custom_additional,custom_env,medium_2box,Medium-2box,0,astar,,True,,11,11,2,9.6,24,314.1997,67,23,32
