source,group,env_version,map_name,difficulty,episode,algorithm,seed,solved,failure_reason,height,width,num_boxes,total_reward,steps,runtime_ms,nodes_expanded,deadlocks_pruned,dead_squares
original,original_v2,Sokoban-v2,episode_01,Sokoban-v2,1,bfs,101,False,node_limit,,,,-20.0,200,76924.9294,200000,312265,9
original,original_v2,Sokoban-v2,episode_01,Sokoban-v2,1,greedy,101,True,,,,,10.0,50,1026.475,685,484,3
original,original_v2,Sokoban-v2,episode_01,Sokoban-v2,1,astar,101,True,,,,,8.9,61,1582.3536,2869,3389,11
original,original_v2,Sokoban-v2,episode_01,Sokoban-v2,1,bfs,101,True,,,,,9.2,58,32797.2355,175826,240060,11
original,original_v2,Sokoban-v2,episode_01,Sokoban-v2,1,greedy,101,True,,,,,11.5,35,1654.9392,4449,4523,4
original,original_v2,Sokoban-v2,episode_01,Sokoban-v2,1,astar,101,True,,,,,9.6,54,4620.3249,15195,2326,3
